Step,AgentID,Scaling A,Scaling B,Capacity,Land Owned,Conquered
0,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
0,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
0,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
0,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
1,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
1,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
1,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
1,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
2,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
2,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
2,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
2,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
3,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
3,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
3,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
3,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
4,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
4,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
4,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
4,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
5,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
5,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
5,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
5,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
6,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
6,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
6,2,1,1,58,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
6,3,1,1,55,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
7,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
7,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
7,2,1,2,54,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
7,3,1,2,50,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
8,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
8,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
8,2,1,3,51,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
8,3,1,3,53,"[(0, 8), (9, 8), (8, 7), (7, 6), (6, 6), (6, 5), (5, 4), (6, 4), (6, 2), (7, 2), (8, 2), (6, 3), (8, 3), (7, 4), (8, 4), (8, 5), (9, 5), (0, 5), (2, 3), (1, 5), (3, 5), (1, 6), (3, 6)]",[]
9,0,1,1,75,"[(8, 0), (7, 0), (6, 9), (5, 8), (6, 7), (5, 6), (4, 6), (3, 7), (2, 6), (2, 7), (2, 8), (1, 8), (1, 9), (9, 9), (0, 9), (9, 0), (1, 0), (9, 1), (0, 1), (1, 1), (2, 0), (3, 1), (2, 2), (3, 2), (3, 3), (3, 4)]",[]
9,1,1,1,67,"[(5, 2), (5, 3), (4, 4), (4, 3), (4, 2), (3, 1), (3, 0), (4, 0), (5, 9), (6, 8), (5, 0), (5, 1), (6, 1), (7, 1), (8, 1), (0, 2), (9, 3), (0, 3), (1, 3), (2, 4), (1, 4)]","[(7, 0)]"
9,2,1,4,50,"[(1, 3), (1, 4), (0, 4), (9, 5), (8, 5), (8, 6), (8, 7), (8, 8), (7, 8), (5, 7), (7, 7), (9, 8)]","[(9, 0), (8, 0)]"
