Step,AgentID,Scaling A,Scaling B,Capacity,Land Owned,Conquered
0,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
0,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
0,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
0,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
1,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
1,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
1,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
1,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
2,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
2,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
