Step,AgentID,Scaling A,Scaling B,Capacity,Land Owned,Conquered
2,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
2,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
3,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
3,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
3,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
3,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
4,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
4,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
4,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
4,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
5,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
5,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
5,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
5,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
6,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
6,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
6,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
6,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
7,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
7,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
7,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
7,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
8,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
8,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
8,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
8,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
9,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
9,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
9,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
9,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
10,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
10,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
10,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
10,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
11,0,1,1,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
11,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
11,2,1,1,86,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
11,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
12,0,1,2,97,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
12,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
12,2,1,2,83,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
12,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
13,0,1,3,95,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
13,1,1,1,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
13,2,1,3,87,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
13,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
14,0,1,4,92,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
14,1,1,3,104,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
14,2,1,6,87,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
14,3,1,1,63,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
15,0,1,6,100,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
15,1,1,4,100,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
15,2,1,8,90,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
15,3,1,2,68,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
16,0,1,8,104,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
16,1,1,5,101,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
16,2,1,10,94,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
16,3,1,3,71,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
17,0,1,10,103,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
17,1,2,5,104,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
17,2,1,11,94,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
17,3,2,4,75,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
18,0,1,12,107,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
18,1,2,7,99,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
18,2,1,13,87,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
18,3,2,6,67,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
19,0,1,13,108,"[(4, 2), (5, 3), (6, 4), (7, 3), (6, 3), (6, 2), (6, 1), (6, 0), (7, 9), (8, 8), (9, 8), (8, 6), (8, 7), (0, 7)]","[(1, 8), (0, 8), (1, 8)]"
19,1,2,10,95,"[(3, 1), (3, 0), (3, 9), (4, 9), (5, 8), (4, 7), (5, 6), (4, 5), (3, 6), (3, 7), (2, 6), (2, 5), (3, 5), (4, 4), (5, 5)]","[(7, 5), (7, 5)]"
19,2,1,15,89,"[(6, 6), (5, 5), (4, 4), (3, 4), (2, 3), (2, 2), (1, 1), (0, 0), (1, 9), (2, 8), (1, 7), (9, 6), (0, 6), (1, 6), (9, 7), (0, 8), (1, 8), (4, 8), (2, 9), (1, 0), (2, 1), (0, 1), (0, 3), (1, 3), (4, 1), (3, 3), (4, 3), (5, 1), (5, 2), (4, 4)]","[(4, 9), (3, 1), (5, 3)]"
19,3,2,8,73,"[(0, 2), (9, 1), (8, 1), (7, 2), (8, 3), (9, 3), (0, 4), (0, 5), (9, 5), (8, 5), (7, 6), (6, 5), (7, 4), (8, 4), (7, 3), (5, 4), (7, 5)]",[]
0,0,1,1,57,"[(2, 9), (3, 0), (3, 1), (2, 2), (1, 3), (0, 4), (1, 4), (2, 4), (1, 5), (9, 5), (0, 5), (9, 6), (1, 6), (9, 7), (0, 7), (1, 7), (9, 8), (1, 8), (9, 9), (0, 9), (1, 9), (2, 0), (2, 8), (4, 8), (4, 0), (5, 1), (3, 2), (4, 2), (5, 2)]","[(7, 2)]"
0,1,1,1,74,"[(7, 4), (6, 3), (7, 3), (6, 4), (5, 4), (5, 3), (6, 2), (7, 1), (6, 0), (7, 9), (7, 8), (8, 7), (7, 5), (8, 5), (7, 6), (5, 5), (6, 5), (4, 7)]","[(9, 7), (6, 7)]"
0,2,1,1,60,"[(9, 1), (0, 2), (9, 2), (0, 1), (1, 2), (8, 3), (9, 3), (0, 3), (8, 4)]","[(1, 6), (0, 5), (8, 5)]"
0,3,1,1,56,"[(4, 4), (4, 5), (4, 6), (3, 7), (3, 8), (4, 9), (5, 9), (5, 0), (6, 9), (5, 6), (6, 6), (7, 6), (5, 7), (7, 7), (5, 8), (6, 8), (7, 8), (8, 8), (8, 9), (8, 0), (0, 0), (7, 0), (7, 2), (8, 2), (1, 1)]","[(7, 8), (0, 1), (9, 2), (1, 3)]"
1,0,1,1,57,"[(2, 9), (3, 0), (3, 1), (2, 2), (1, 3), (0, 4), (1, 4), (2, 4), (1, 5), (9, 5), (0, 5), (9, 6), (1, 6), (9, 7), (0, 7), (1, 7), (9, 8), (1, 8), (9, 9), (0, 9), (1, 9), (2, 0), (2, 8), (4, 8), (4, 0), (5, 1), (3, 2), (4, 2), (5, 2)]","[(7, 2)]"
1,1,1,1,74,"[(7, 4), (6, 3), (7, 3), (6, 4), (5, 4), (5, 3), (6, 2), (7, 1), (6, 0), (7, 9), (7, 8), (8, 7), (7, 5), (8, 5), (7, 6), (5, 5), (6, 5), (4, 7)]","[(9, 7), (6, 7)]"
1,2,1,1,60,"[(9, 1), (0, 2), (9, 2), (0, 1), (1, 2), (8, 3), (9, 3), (0, 3), (8, 4)]","[(1, 6), (0, 5), (8, 5)]"
1,3,1,1,56,"[(4, 4), (4, 5), (4, 6), (3, 7), (3, 8), (4, 9), (5, 9), (5, 0), (6, 9), (5, 6), (6, 6), (7, 6), (5, 7), (7, 7), (5, 8), (6, 8), (7, 8), (8, 8), (8, 9), (8, 0), (0, 0), (7, 0), (7, 2), (8, 2), (1, 1)]","[(7, 8), (0, 1), (9, 2), (1, 3)]"
2,0,1,1,57,"[(2, 9), (3, 0), (3, 1), (2, 2), (1, 3), (0, 4), (1, 4), (2, 4), (1, 5), (9, 5), (0, 5), (9, 6), (1, 6), (9, 7), (0, 7), (1, 7), (9, 8), (1, 8), (9, 9), (0, 9), (1, 9), (2, 0), (2, 8), (4, 8), (4, 0), (5, 1), (3, 2), (4, 2), (5, 2)]","[(7, 2)]"
2,1,1,1,74,"[(7, 4), (6, 3), (7, 3), (6, 4), (5, 4), (5, 3), (6, 2), (7, 1), (6, 0), (7, 9), (7, 8), (8, 7), (7, 5), (8, 5), (7, 6), (5, 5), (6, 5), (4, 7)]","[(9, 7), (6, 7)]"
2,2,1,1,60,"[(9, 1), (0, 2), (9, 2), (0, 1), (1, 2), (8, 3), (9, 3), (0, 3), (8, 4)]","[(1, 6), (0, 5), (8, 5)]"
2,3,1,1,56,"[(4, 4), (4, 5), (4, 6), (3, 7), (3, 8), (4, 9), (5, 9), (5, 0), (6, 9), (5, 6), (6, 6), (7, 6), (5, 7), (7, 7), (5, 8), (6, 8), (7, 8), (8, 8), (8, 9), (8, 0), (0, 0), (7, 0), (7, 2), (8, 2), (1, 1)]","[(7, 8), (0, 1), (9, 2), (1, 3)]"
3,0,1,1,57,"[(2, 9), (3, 0), (3, 1), (2, 2), (1, 3), (0, 4), (1, 4), (2, 4), (1, 5), (9, 5), (0, 5), (9, 6), (1, 6), (9, 7), (0, 7), (1, 7), (9, 8), (1, 8), (9, 9), (0, 9), (1, 9), (2, 0), (2, 8), (4, 8), (4, 0), (5, 1), (3, 2), (4, 2), (5, 2)]","[(7, 2)]"
3,1,1,1,74,"[(7, 4), (6, 3), (7, 3), (6, 4), (5, 4), (5, 3), (6, 2), (7, 1), (6, 0), (7, 9), (7, 8), (8, 7), (7, 5), (8, 5), (7, 6), (5, 5), (6, 5), (4, 7)]","[(9, 7), (6, 7)]"
3,2,1,1,60,"[(9, 1), (0, 2), (9, 2), (0, 1), (1, 2), (8, 3), (9, 3), (0, 3), (8, 4)]","[(1, 6), (0, 5), (8, 5)]"
