Step,AgentID,Scaling A,Scaling B,Capacity,Land Owned,Conquered
0,0,1,1,98,"[(0, 4), (9, 3), (9, 2), (8, 1), (8, 2), (0, 2), (1, 2), (2, 3), (2, 4), (3, 3), (3, 9), (4, 9), (2, 0), (2, 1)]","[(5, 1), (5, 2)]"
0,1,1,1,83,"[(8, 5), (9, 5), (0, 5), (1, 4), (2, 5), (3, 6), (4, 6), (4, 5), (4, 4), (4, 3), (3, 2), (4, 1), (5, 0), (5, 8), (6, 8), (7, 8), (7, 9), (6, 1), (6, 2), (8, 3), (0, 3), (8, 4), (0, 4), (9, 3)]","[(7, 0), (8, 2)]"
0,2,1,1,93,"[(5, 9), (4, 8), (3, 8), (2, 9), (3, 0), (4, 1), (3, 2), (3, 3), (3, 1), (5, 1), (5, 2), (5, 3), (6, 3), (7, 3), (5, 4), (7, 4), (5, 5), (6, 5), (7, 5), (7, 6), (9, 6), (7, 7), (8, 7), (9, 7), (0, 6), (1, 6), (1, 8), (0, 8), (9, 8), (1, 9), (2, 9), (3, 0)]","[(9, 0), (1, 0)]"
0,3,1,1,96,"[(0, 0), (9, 1), (8, 0), (7, 0), (8, 9), (8, 8), (9, 8), (0, 8), (0, 9), (9, 0), (1, 0), (2, 9), (2, 8), (1, 7), (1, 5), (3, 5), (2, 7), (3, 7), (4, 6), (3, 4), (5, 6), (5, 7)]","[(5, 8), (5, 9)]"
1,0,1,1,98,"[(0, 4), (9, 3), (9, 2), (8, 1), (8, 2), (0, 2), (1, 2), (2, 3), (2, 4), (3, 3), (3, 9), (4, 9), (2, 0), (2, 1)]","[(5, 1), (5, 2)]"
1,1,1,1,83,"[(8, 5), (9, 5), (0, 5), (1, 4), (2, 5), (3, 6), (4, 6), (4, 5), (4, 4), (4, 3), (3, 2), (4, 1), (5, 0), (5, 8), (6, 8), (7, 8), (7, 9), (6, 1), (6, 2), (8, 3), (0, 3), (8, 4), (0, 4), (9, 3)]","[(7, 0), (8, 2)]"
1,2,1,1,93,"[(5, 9), (4, 8), (3, 8), (2, 9), (3, 0), (4, 1), (3, 2), (3, 3), (3, 1), (5, 1), (5, 2), (5, 3), (6, 3), (7, 3), (5, 4), (7, 4), (5, 5), (6, 5), (7, 5), (7, 6), (9, 6), (7, 7), (8, 7), (9, 7), (0, 6), (1, 6), (1, 8), (0, 8), (9, 8), (1, 9), (2, 9), (3, 0)]","[(9, 0), (1, 0)]"
1,3,1,1,96,"[(0, 0), (9, 1), (8, 0), (7, 0), (8, 9), (8, 8), (9, 8), (0, 8), (0, 9), (9, 0), (1, 0), (2, 9), (2, 8), (1, 7), (1, 5), (3, 5), (2, 7), (3, 7), (4, 6), (3, 4), (5, 6), (5, 7)]","[(5, 8), (5, 9)]"
2,0,1,1,98,"[(0, 4), (9, 3), (9, 2), (8, 1), (8, 2), (0, 2), (1, 2), (2, 3), (2, 4), (3, 3), (3, 9), (4, 9), (2, 0), (2, 1)]","[(5, 1), (5, 2)]"
2,1,1,1,83,"[(8, 5), (9, 5), (0, 5), (1, 4), (2, 5), (3, 6), (4, 6), (4, 5), (4, 4), (4, 3), (3, 2), (4, 1), (5, 0), (5, 8), (6, 8), (7, 8), (7, 9), (6, 1), (6, 2), (8, 3), (0, 3), (8, 4), (0, 4), (9, 3)]","[(7, 0), (8, 2)]"
