Step,AgentID,Scaling A,Scaling B,Capacity,Land Owned,Conquered
0,0,1,1,90,"[(3, 2), (2, 3), (1, 3), (1, 2), (1, 0), (2, 0), (0, 1), (0, 2), (1, 4), (2, 4), (0, 6), (0, 7), (1, 7), (2, 7), (2, 6), (3, 6), (4, 6), (4, 7), (3, 6)]","[(2, 2), (3, 9), (4, 8), (3, 9)]"
0,1,1,1,73,"[(4, 5), (5, 4), (4, 3), (3, 3), (2, 2), (2, 1), (3, 0), (1, 8), (2, 8), (3, 8), (1, 9), (3, 9), (4, 0), (5, 0), (3, 1), (4, 2), (5, 2), (6, 2), (7, 1), (8, 2), (9, 1), (9, 2), (9, 3), (7, 2), (9, 4)]",[]
0,2,1,1,85,"[(0, 0), (9, 0), (8, 1), (7, 0), (6, 1), (5, 1), (6, 0), (7, 9), (8, 8), (9, 8), (0, 8), (0, 9), (9, 9), (8, 9), (7, 8), (7, 6), (9, 6), (9, 7), (0, 7)]",[]
0,3,1,1,72,"[(9, 5), (0, 5), (1, 4), (0, 3), (0, 4), (3, 4), (1, 5), (2, 5), (3, 5), (4, 5), (5, 3), (6, 3), (4, 4), (6, 4), (5, 5), (6, 5), (7, 3), (8, 3), (8, 4), (7, 5), (8, 5), (8, 6), (7, 7), (6, 8), (5, 7), (6, 7), (6, 9), (5, 9), (4, 8), (3, 7)]","[(8, 9), (4, 7)]"
1,0,1,1,90,"[(3, 2), (2, 3), (1, 3), (1, 2), (1, 0), (2, 0), (0, 1), (0, 2), (1, 4), (2, 4), (0, 6), (0, 7), (1, 7), (2, 7), (2, 6), (3, 6), (4, 6), (4, 7), (3, 6)]","[(2, 2), (3, 9), (4, 8), (3, 9)]"
1,1,1,1,73,"[(4, 5), (5, 4), (4, 3), (3, 3), (2, 2), (2, 1), (3, 0), (1, 8), (2, 8), (3, 8), (1, 9), (3, 9), (4, 0), (5, 0), (3, 1), (4, 2), (5, 2), (6, 2), (7, 1), (8, 2), (9, 1), (9, 2), (9, 3), (7, 2), (9, 4)]",[]
1,2,1,1,85,"[(0, 0), (9, 0), (8, 1), (7, 0), (6, 1), (5, 1), (6, 0), (7, 9), (8, 8), (9, 8), (0, 8), (0, 9), (9, 9), (8, 9), (7, 8), (7, 6), (9, 6), (9, 7), (0, 7)]",[]
1,3,1,1,72,"[(9, 5), (0, 5), (1, 4), (0, 3), (0, 4), (3, 4), (1, 5), (2, 5), (3, 5), (4, 5), (5, 3), (6, 3), (4, 4), (6, 4), (5, 5), (6, 5), (7, 3), (8, 3), (8, 4), (7, 5), (8, 5), (8, 6), (7, 7), (6, 8), (5, 7), (6, 7), (6, 9), (5, 9), (4, 8), (3, 7)]","[(8, 9), (4, 7)]"
2,0,1,1,90,"[(3, 2), (2, 3), (1, 3), (1, 2), (1, 0), (2, 0), (0, 1), (0, 2), (1, 4), (2, 4), (0, 6), (0, 7), (1, 7), (2, 7), (2, 6), (3, 6), (4, 6), (4, 7), (3, 6)]","[(2, 2), (3, 9), (4, 8), (3, 9)]"
2,1,1,1,73,"[(4, 5), (5, 4), (4, 3), (3, 3), (2, 2), (2, 1), (3, 0), (1, 8), (2, 8), (3, 8), (1, 9), (3, 9), (4, 0), (5, 0), (3, 1), (4, 2), (5, 2), (6, 2), (7, 1), (8, 2), (9, 1), (9, 2), (9, 3), (7, 2), (9, 4)]",[]
2,2,1,1,85,"[(0, 0), (9, 0), (8, 1), (7, 0), (6, 1), (5, 1), (6, 0), (7, 9), (8, 8), (9, 8), (0, 8), (0, 9), (9, 9), (8, 9), (7, 8), (7, 6), (9, 6), (9, 7), (0, 7)]",[]
