Step,AgentID,Scaling A,Scaling B,Capacity,Land Owned,Conquered
0,0,1,1,57,"[(9, 3), (8, 2), (8, 1), (9, 0), (0, 0), (1, 9), (1, 0), (0, 1), (9, 9), (8, 9), (8, 8), (9, 2), (0, 2), (1, 3), (0, 3), (0, 4)]",[]
0,1,1,1,61,"[(5, 1), (5, 0), (6, 0), (7, 9), (7, 0), (7, 1), (7, 2), (7, 3), (8, 3), (7, 4), (6, 3), (5, 4), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (5, 6), (7, 5), (7, 6), (8, 6), (0, 8), (1, 9), (2, 9), (1, 1), (3, 1), (1, 2)]","[(7, 7), (3, 2)]"
0,2,1,1,73,"[(2, 5), (3, 4), (3, 3), (2, 2), (2, 1), (3, 0), (3, 9), (3, 8), (4, 8), (5, 7), (7, 8), (6, 9), (7, 9), (8, 8), (8, 7)]","[(9, 7)]"
0,3,1,1,63,"[(9, 6), (8, 6), (8, 5), (9, 5), (0, 6), (0, 7), (9, 8), (8, 7), (7, 7), (6, 7), (5, 8), (6, 8), (4, 9), (6, 9), (4, 0), (5, 1), (4, 2), (5, 3), (3, 2), (5, 2), (6, 2), (7, 3)]","[(6, 0), (5, 4)]"
1,0,1,1,57,"[(9, 3), (8, 2), (8, 1), (9, 0), (0, 0), (1, 9), (1, 0), (0, 1), (9, 9), (8, 9), (8, 8), (9, 2), (0, 2), (1, 3), (0, 3), (0, 4)]",[]
1,1,1,1,61,"[(5, 1), (5, 0), (6, 0), (7, 9), (7, 0), (7, 1), (7, 2), (7, 3), (8, 3), (7, 4), (6, 3), (5, 4), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (5, 6), (7, 5), (7, 6), (8, 6), (0, 8), (1, 9), (2, 9), (1, 1), (3, 1), (1, 2)]","[(7, 7), (3, 2)]"
1,2,1,1,73,"[(2, 5), (3, 4), (3, 3), (2, 2), (2, 1), (3, 0), (3, 9), (3, 8), (4, 8), (5, 7), (7, 8), (6, 9), (7, 9), (8, 8), (8, 7)]","[(9, 7)]"
1,3,1,1,63,"[(9, 6), (8, 6), (8, 5), (9, 5), (0, 6), (0, 7), (9, 8), (8, 7), (7, 7), (6, 7), (5, 8), (6, 8), (4, 9), (6, 9), (4, 0), (5, 1), (4, 2), (5, 3), (3, 2), (5, 2), (6, 2), (7, 3)]","[(6, 0), (5, 4)]"
2,0,1,1,57,"[(9, 3), (8, 2), (8, 1), (9, 0), (0, 0), (1, 9), (1, 0), (0, 1), (9, 9), (8, 9), (8, 8), (9, 2), (0, 2), (1, 3), (0, 3), (0, 4)]",[]
2,1,1,1,61,"[(5, 1), (5, 0), (6, 0), (7, 9), (7, 0), (7, 1), (7, 2), (7, 3), (8, 3), (7, 4), (6, 3), (5, 4), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (5, 6), (7, 5), (7, 6), (8, 6), (0, 8), (1, 9), (2, 9), (1, 1), (3, 1), (1, 2)]","[(7, 7), (3, 2)]"
